model,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,25.0,2019-01-31_2019-12-31,12,-0.05654301439342335,-0.0907583313333864,-0.05654301439342335,-0.0907583313333864,0.03421531693996305,0.3454943537689278,-0.003254438790724015,-0.2887123423852268,-0.08173242622854304,0.5833333333333334,0.30510642416542577,2.210707941408235,0.21722040989588165,0.6111111111111112
cap300_composite,25.0,2019-02-28_2020-01-31,12,-0.1278638964548271,-0.15374678206850467,-0.1278638964548271,-0.15374678206850467,0.025882885613677575,0.35345892825032216,-0.2172381287503049,-0.2887123423852268,-0.157070533612218,0.5833333333333334,0.2800706678197294,1.777506749619248,0.2253061524777391,0.5555555555555555
cap300_composite,25.0,2019-03-31_2020-02-29,12,-0.2059787968378124,-0.2983301643039218,-0.2059787968378124,-0.2983301643039218,0.09235136746610939,0.3401855403764972,-0.5104785039806321,-0.19427404807531323,-0.2968733323797681,0.5833333333333334,0.48907508994093374,0.6752327061848844,0.05029867377491026,0.5277777777777777
cap300_composite,25.0,2019-04-30_2020-03-31,12,-0.19836228550525603,-0.26938100433105683,-0.19836228550525603,-0.26938100433105683,0.0710187188258008,0.33603436276091236,-0.4934356321039094,-0.3346318685533467,-0.2897384073692094,0.5833333333333334,0.3591393908056407,0.4480338300825387,-0.03580159954350237,0.5555555555555555
cap300_composite,25.0,2019-05-31_2020-04-30,12,-0.08072911125012783,-0.23441422140073764,-0.08072911125012783,-0.23441422140073764,0.15368511015060982,0.31103492637117636,-0.12283551743148946,-0.336495255877569,-0.2897384073692094,0.5833333333333334,0.6291466560675375,0.395906347147676,0.05948367682398392,0.49999999999999994
cap300_composite,25.0,2019-06-30_2020-05-31,12,-0.20975579120265075,-0.22854562482453433,-0.20975579120265075,-0.22854562482453433,0.018789833621883578,0.3016044971782506,-0.6311149721271746,-0.3817387397848361,-0.2897384073692095,0.5,0.13074024570875215,0.21160870201395987,-0.13190974833718916,0.5555555555555555
cap300_composite,25.0,2019-07-31_2020-06-30,12,-0.04431717847845418,-0.1941752572672133,-0.04431717847845418,-0.1941752572672133,0.14985807878875912,0.3621085583772435,0.040828872754172275,-0.3817387397848361,-0.2827760862119635,0.5833333333333334,0.5641165887008527,0.4908576763106171,0.1136577462509949,0.5555555555555555
cap300_composite,25.0,2019-08-31_2020-07-31,12,-0.1756474838508083,-0.1722348942847023,-0.1756474838508083,-0.1722348942847023,-0.003412589566106017,0.3567136647299575,-0.3751131272342607,-0.3817387397848361,-0.27948217627529803,0.5,0.0801770164453626,0.4267202331327287,-0.06230777723835146,0.5277777777777778
cap300_composite,25.0,2019-09-30_2020-08-31,12,-0.18473620002671376,-0.21057570090232802,-0.18473620002671376,-0.21057570090232802,0.025839500875614263,0.3574023066579328,-0.40439807259465066,-0.3817387397848361,-0.27948217627529803,0.5833333333333334,0.173500698529797,0.42778119890821564,-0.05401266497178758,0.5555555555555555
cap300_composite,25.0,2019-10-31_2020-09-30,12,-0.08878186718392012,-0.1766274605970889,-0.08878186718392012,-0.1766274605970889,0.08784559341316878,0.42349420221828604,-0.032991737160968426,-0.38173873978483597,-0.2794821762752979,0.5833333333333334,0.37638924194380463,0.6612307551831719,0.09935413619683842,0.5555555555555556
